row_reso,cod_reso,motivazione,cod_scon_reso,data_reso
1,44790,Wrong color,nth061fjeT,14-Jun-2019
2,66770,Wrong color,kev201ogy6,15-Jun-2019
3,74035,Unspecified,hgd506nejS,01-Feb-2020
4,52219,Wrong color,gte271oqwD,21-Jul-2018
5,49260,Wrong color,czw124oxlT,11-May-2020
6,62270,Wrong color,efu428herJ,07-Jan-2020
7,25178,Wrong color,rcz761qtfU,09-Apr-2019
8,87427,Wrong color,yaj593laeL,22-Nov-2018
9,19094,Unspecified,phv092nejW,26-Jul-2019
10,89428,Unspecified,gzu593qsaQ,10-May-2019
11,66327,Unspecified,rcu056ycoV,26-Mar-2020
12,29948,Unspecified,iqq949hbgB,31-May-2019
13,62205,Wrong color,unx467kiwS,10-Dec-2018
14,22442,Faulty,nko054oriH,10-Jun-2020
15,14553,Unspecified,cvt002ufkI,15-Mar-2020
16,06286,Unspecified,fqp323zfp4,13-Aug-2019
17,17494,Faulty,wvy963rgo8,04-Sep-2019
18,11530,Wrong color,auf276qlvW,09-Sep-2018
19,40766,Unspecified,qxx233wtj9,18-Apr-2020
20,12970,Wrong color,fhl463wltG,25-Aug-2018
