cod_lez,cod_corso_l,cod_tess_ins_lez,tipo_lez,data_lez,durata_lez
83454,33016,45514,Group,25-Jan-2019,1.5
97840,33016,45514,Single,16-Mar-2019,2
44356,33016,45514,Single,17-Mar-2019,3
97432,33016,45514,Group,24-May-2019,3
01457,33016,45514,Group,09-Mar-2019,2
84848,33016,45514,Group,16-May-2019,2
84115,33016,45514,Group,28-Jan-2019,5
75996,33016,45514,Group,04-Jul-2019,5
25461,33016,45514,Group,13-Feb-2019,2
52183,33016,45514,Single,03-Jun-2019,2
30640,33016,45514,Group,06-May-2019,5
60104,33016,45514,Group,10-Apr-2019,2
10976,33016,45514,Group,24-Jun-2019,2
84618,33016,45514,Single,01-Feb-2019,5
74553,33016,45514,Single,15-May-2019,2
40814,33016,45514,Group,23-Jun-2019,3
43901,33016,45514,Group,05-Mar-2019,2
35534,33016,45514,Group,12-Aug-2019,1.5
63861,33016,45514,Single,02-Feb-2019,1.5
35203,33016,45514,Group,13-Apr-2019,2
63724,33016,45514,Group,06-Oct-2019,2
81665,33016,45514,Group,28-Aug-2019,5
61016,33016,45514,Single,20-Sep-2019,1.5
99016,33016,45514,Group,26-Jun-2019,5
89788,33016,45514,Single,19-Jun-2019,2
53666,33016,45514,Group,19-May-2019,5
84667,33016,45514,Group,24-May-2019,1.5
08166,33016,45514,Single,04-Aug-2019,3
08041,33016,45514,Single,31-May-2019,2
76719,33016,45514,Group,12-Jun-2019,1.5
88086,33016,45514,Single,09-Sep-2019,2
41460,33016,45514,Group,26-Mar-2019,3
81384,33016,45514,Group,27-Mar-2019,1.5
22337,33016,45514,Single,17-Feb-2019,2
79918,33016,45514,Single,04-Sep-2019,2
60443,33016,45514,Single,10-Aug-2019,3
47343,33016,45514,Single,25-Feb-2019,3
55336,33016,45514,Single,01-Aug-2019,1.5
01845,33016,45514,Single,10-Feb-2019,3
33723,33016,45514,Single,21-Feb-2019,2
20358,33016,45514,Single,27-Oct-2019,5
31259,33016,45514,Group,30-Aug-2019,3
07946,33016,45514,Group,02-Sep-2019,5
60833,33016,45514,Single,09-Apr-2019,2
47314,33016,45514,Group,27-Feb-2019,2
39765,33016,45514,Single,24-Jun-2019,2
59183,33016,45514,Group,02-Feb-2019,5
67055,33016,45514,Single,21-Jul-2019,1.5
47765,33016,45514,Group,12-Aug-2019,1.5
46955,33016,45514,Single,06-Aug-2019,2
45256,33016,45514,Group,10-Sep-2019,1.5
35388,33016,45514,Group,04-Feb-2019,2
53837,33016,45514,Single,16-Apr-2019,2
67083,33016,45514,Single,17-Aug-2019,1.5
30218,33016,45514,Group,14-May-2019,3
62402,33016,45514,Group,27-Mar-2019,3
82789,33016,45514,Group,01-Sep-2019,2
13928,33016,45514,Single,07-Jul-2019,2
40033,33016,45514,Group,24-May-2019,2
96762,33016,45514,Group,14-Mar-2019,5
34207,33016,45514,Single,16-Aug-2019,2
28943,33016,45514,Group,12-Feb-2019,3
69608,33016,45514,Single,26-Aug-2019,5
65219,33016,45514,Group,29-Sep-2019,3
19869,33016,45514,Group,20-Jul-2019,5
55389,33016,45514,Group,05-Mar-2019,1.5
81484,33016,45514,Single,15-Jun-2019,1.5
53637,33016,45514,Group,02-Aug-2019,1.5
71552,33016,45514,Group,29-Oct-2019,5
03630,33016,45514,Group,16-May-2019,2
99104,33016,45514,Group,17-Oct-2019,5
13607,33016,45514,Group,20-Oct-2019,1.5
39907,33016,45514,Single,27-Jul-2019,1.5
90022,33016,45514,Group,03-Apr-2019,3
31040,33016,45514,Group,16-Jul-2019,2
59752,33016,45514,Single,01-Sep-2019,5
55473,33016,45514,Single,14-Jul-2019,5
20379,33016,45514,Single,23-Sep-2019,5
70513,33016,45514,Group,08-Jun-2019,3
63522,33016,45514,Single,12-Jun-2019,1.5
98718,33016,45514,Single,24-Oct-2019,5
79609,33016,45514,Single,19-Apr-2019,5
25989,33016,45514,Group,06-Mar-2019,5
42190,33016,45514,Single,24-Mar-2019,5
18765,33016,45514,Group,26-Jan-2019,1.5
39160,33016,45514,Group,10-Feb-2019,5
23599,33016,45514,Single,27-Apr-2019,5
05361,33016,45514,Group,07-Sep-2019,1.5
05846,33016,45514,Single,02-May-2019,3
89428,33016,45514,Group,07-Feb-2019,2
42577,33016,45514,Single,17-Sep-2019,1.5
84127,33016,45514,Single,23-Oct-2019,1.5
64208,33016,45514,Single,11-Sep-2019,5
99498,33016,45514,Single,14-Jun-2019,5
96742,33016,45514,Single,08-May-2019,2
80764,33016,45514,Group,20-Sep-2019,1.5
50902,33016,45514,Group,10-Oct-2019,1.5
19965,33016,45514,Group,20-May-2019,5
99203,33016,45514,Group,27-Oct-2019,2
58640,33016,45514,Single,26-Feb-2019,3
