row_ds_stru,num_serie,categoria,nome,marca,modello
1,3qcuh9myak,Archi,Violoncello,Lothar Semmlinger,No. 300 Solo Cello Oil 4/4
2,hhi6ld8our,Aerofono,Sassofono,Selmer,Reference 54 Alto Sax
3,xtp5kyx4mp,Archi,Violino,Stentor,SR1400 3/4
4,z81ee6cs66,Archi,Violino,Gewa,Maestro 6 3/4
5,p6qfreiaeg,Aerofono,Sassofono,Yamaha,YSS-82ZRS Soprano Sax
6,k5hp63a831,Archi,Violoncello,Vox Meister,CESS4
7,1u1df6i46j,Membranofono,Batteria,Yamaha,Stage Custom Studio -RB Bundle
8,pwfp8s8e8r,Membranofono,Batteria,Yamaha,Recording Custom Studio WLN
9,0qynduy85i,Cordofono,Chitarra,Yamaha,SA2200VS
10,d2pf6vqpun,Archi,Violino,Yamaha,V7 SG34 3/4
11,zevzo9zrvn,Archi,Violoncello,Vox Meister,CEB44
12,g5e18raxf3,Archi,Violoncello,Lothar Semmlinger,No. 300 Solo Cello Oil 4/4
13,zivs6yzisl,Aerofono,Sassofono,Selmer,Reference 54 Alto Sax
14,pkdcnje7lm,Cordofono,Chitarra,Fender,MIJ Troublemaker Tele RW
15,kmuvgwmehz,Cordofono,Basso,Yamaha,BB434
16,pla5zjstz4,Membranofono,Batteria,Yamaha,Stage Custom Studio -RB Bundle
17,25ivv1p6c8,Membranofono,Batteria,Pearl,Roadshow Studio Jet Black
18,9o731dpr8j,Archi,Violoncello,Lothar Semmlinger,No. 135 Cello 4/4
19,fmt2596j6n,Aerofono,Clarinetto,Yamaha,Privilege Bb- Clarinet black
20,3vv0kxquvi,Aerofono,Sassofono,Selmer,SA80 II Tenor Sax SE-T2L
21,pcntv8gei9,Archi,Violoncello,Vox Meister,CEB44
22,sve1467oa1,Cordofono,Chitarra,Fender,MIJ Troublemaker Tele RW
23,7k2wexz6pw,Cordofono,Chitarra,Gibson,ES-355 Dot GM
24,38i5mqa0jv,Archi,Violoncello,Vhienna,Vh Ce44maestro
25,ciwycyxju6,Membranofono,Tamburo,Sonor,HDP Hand Drum
26,wl1ihm9flx,Aerofono,Clarinetto,Yamaha,CP 25/II Bass Clarinet Low C
27,cde6gg9nfm,Archi,Violoncello,Lothar Semmlinger,No. 300 Solo Cello Oil 4/4
28,cqy43b8rsr,Archi,Violoncello,Lothar Semmlinger,No. 135 Cello 4/4
29,8z06470p4z,Aerofono,Sassofono,Selmer,Reference 54 Alto Sax
30,l6jvjqs2sk,Aerofono,Sassofono,Yamaha,YSS-82ZRS Soprano Sax
31,jhbp40lqzx,Cordofono,Chitarra,Fender,American Performer Telecaster
32,gpzai5f9vi,Archi,Violoncello,Lothar Semmlinger,No. 300 Solo Cello Oil 4/4
33,nfltfzp5p8,Cordofono,Basso,Fender,AM Ultra J-Bass MN
34,pw6nfjx5f7,Archi,Violoncello,Lothar Semmlinger,No. 300 Solo Cello Oil 4/4
35,1avsa97qfz,Cordofono,Chitarra,Yamaha,SA2200VS
36,g2hsilhqw9,Membranofono,Tamburo,Sonor,LHDN10 Hand Drum
37,gqenvk25iy,Archi,Violoncello,Vhienna,Vh Ce44maestro
38,chrnuikzgl,Aerofono,Sassofono,Yanagisawa,T-WO2 Tenor Sax
39,3sxh4x2ucy,Aerofono,Clarinetto,Buffet Crampon,blank_marca
40,kvi9ioqw38,Archi,Violino,Stentor,SR1400 3/4
41,pcjxizah45,Cordofono,Basso,Yamaha,TRB1005J
42,4ecpxf3r2x,Cordofono,Chitarra,Yamaha,SA2200VS
43,8kf9fis7ab,Archi,Violino,Yamaha,V7 SG34 3/4
44,ckr5s15vxs,Cordofono,Chitarra,Yamaha,Revstar RS620
45,zcllgqpcg5,Aerofono,Clarinetto,Buffet Crampon,blank_marca
46,li6qnngei9,Aerofono,Sassofono,Yanagisawa,A-WO1 Alto Sax
47,21x5plg5o5,Membranofono,Batteria,Pearl,Roadshow Studio Jet Black
48,x69e80rs6x,Membranofono,Batteria,Pearl,Decade Maple Standard S. Brown
49,1gn5n67ag5,Aerofono,Clarinetto,Buffet Crampon,blank_marca
50,idsfxdkp16,Aerofono,Clarinetto,Selmer,CP 25/II Bass Clarinet Low C
51,qigta8iikz,Membranofono,Batteria,Yamaha,Recording Custom Studio WLN
52,2lyfq78yco,Cordofono,Basso,Gibson,EB Bass
53,p3w3y2jwex,Cordofono,Chitarra,Gibson,SG Standard
54,zlebzwr641,Cordofono,Chitarra,Fender,American Professional Jazzmaster
55,wzyzqmhn46,Membranofono,Batteria,Yamaha,Absolute Hybrid Studio Set-ORS
56,9z9iwsa7r7,Cordofono,Basso,Yamaha,TRB1005J
57,zgcud29kdl,Aerofono,Clarinetto,Yamaha,Privilege 18/5 NEW Bb Clarinet
58,n1wp0uk1tz,Cordofono,Chitarra,Fender,American Professional Jazzmaster
