cod_lez,cod_corso_l,cod_tess_ins_lez,tipo_lez,data_lez,durata_lez
82256,92683,61377,Group,19-Jul-2019,5
69296,92683,61377,Single,05-Mar-2019,5
10647,92683,61377,Group,10-Sep-2019,2
56484,92683,61377,Single,20-Sep-2019,5
19468,92683,61377,Group,16-Mar-2019,3
78412,92683,61377,Single,26-Mar-2019,2
99410,92683,61377,Single,23-Jul-2019,5
39800,92683,61377,Single,14-May-2019,3
81914,92683,61377,Single,09-Aug-2019,1.5
01409,92683,61377,Single,17-Sep-2019,3
27123,92683,61377,Single,29-Mar-2019,2
57594,92683,61377,Group,06-Jun-2019,5
90870,92683,61377,Single,07-Mar-2019,1.5
07045,92683,61377,Group,03-May-2019,5
62862,92683,61377,Group,30-Jul-2019,3
41834,92683,61377,Single,11-Apr-2019,3
33699,92683,61377,Group,19-Mar-2019,3
01455,92683,61377,Group,09-May-2019,2
55489,92683,61377,Group,01-Oct-2019,3
39512,92683,61377,Single,21-Mar-2019,5
32031,92683,61377,Group,12-Apr-2019,2
07363,92683,61377,Group,18-Jun-2019,2
46179,92683,61377,Group,14-May-2019,2
12978,92683,61377,Single,25-Feb-2019,3
89641,92683,61377,Single,01-May-2019,2
25071,92683,61377,Group,01-Feb-2019,2
38601,92683,61377,Group,26-Aug-2019,2
44157,92683,61377,Single,08-May-2019,1.5
89360,92683,61377,Single,26-Jul-2019,1.5
18067,92683,61377,Group,11-Apr-2019,3
71833,92683,61377,Group,06-Sep-2019,3
96653,92683,61377,Single,06-May-2019,5
32526,92683,61377,Group,23-Jan-2019,3
29217,92683,61377,Single,23-Aug-2019,2
53709,92683,61377,Single,16-Apr-2019,3
24043,92683,61377,Single,21-May-2019,2
10852,92683,61377,Group,11-Jun-2019,3
53730,92683,61377,Group,12-Mar-2019,2
01697,92683,61377,Group,30-May-2019,1.5
11865,92683,61377,Group,27-Feb-2019,2
91618,92683,61377,Single,12-Oct-2019,3
78019,92683,61377,Group,08-Jun-2019,3
03562,92683,61377,Group,04-Sep-2019,1.5
97655,92683,61377,Group,09-Apr-2019,3
80765,92683,61377,Group,07-Mar-2019,5
58281,92683,61377,Single,21-Jul-2019,5
78741,92683,61377,Single,23-Mar-2019,1.5
75781,92683,61377,Single,19-May-2019,5
99837,92683,61377,Single,13-Mar-2019,5
35908,92683,61377,Single,10-Oct-2019,2
41113,92683,61377,Single,25-Jul-2019,3
12492,92683,61377,Single,20-May-2019,3
69684,92683,61377,Single,24-Aug-2019,5
77102,92683,61377,Single,16-May-2019,5
28911,92683,61377,Single,13-Feb-2019,5
26875,92683,61377,Single,12-Apr-2019,2
95219,92683,61377,Group,06-Mar-2019,1.5
96741,92683,61377,Single,11-Sep-2019,5
71985,92683,61377,Group,06-Feb-2019,2
39059,92683,61377,Group,12-Apr-2019,2
79648,92683,61377,Group,13-Mar-2019,1.5
96120,92683,61377,Group,04-Feb-2019,2
11509,92683,61377,Single,05-Mar-2019,2
71485,92683,61377,Group,25-Jan-2019,1.5
74065,92683,61377,Single,03-Sep-2019,3
31152,92683,61377,Group,30-Jul-2019,3
31519,92683,61377,Single,13-Mar-2019,1.5
88230,92683,61377,Single,28-Aug-2019,5
45387,92683,61377,Single,14-Sep-2019,2
02725,92683,61377,Single,27-Apr-2019,3
64379,92683,61377,Single,25-Jul-2019,5
02716,92683,61377,Group,20-Jul-2019,2
49092,92683,61377,Single,11-Sep-2019,5
40547,92683,61377,Group,14-Aug-2019,5
97436,92683,61377,Group,16-Aug-2019,2
81663,92683,61377,Single,20-Mar-2019,2
72032,92683,61377,Group,01-Jul-2019,2
50411,92683,61377,Group,01-Jun-2019,2
91859,92683,61377,Group,03-Jun-2019,5
21837,92683,61377,Single,27-Feb-2019,5
62853,92683,61377,Single,05-May-2019,3
23284,92683,61377,Single,05-May-2019,2
17897,92683,61377,Group,13-Aug-2019,3
92260,92683,61377,Single,13-Jun-2019,3
94273,92683,61377,Single,30-Apr-2019,2
16472,92683,61377,Single,19-Sep-2019,2
44720,92683,61377,Group,11-Feb-2019,5
77065,92683,61377,Single,11-May-2019,5
55048,92683,61377,Group,09-Sep-2019,5
67633,92683,61377,Single,13-Apr-2019,2
92099,92683,61377,Group,26-Feb-2019,5
63273,92683,61377,Group,09-Sep-2019,1.5
71334,92683,61377,Single,30-Jun-2019,3
16735,92683,61377,Single,19-Feb-2019,1.5
11239,92683,61377,Single,10-May-2019,5
76173,92683,61377,Group,20-May-2019,3
34668,92683,61377,Group,12-Jul-2019,5
35498,92683,61377,Group,26-Aug-2019,3
06827,92683,61377,Group,26-Mar-2019,3
35224,92683,61377,Single,12-Oct-2019,1.5
